Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
116015A,-17.7371,145.4363,QLD,Blunder,185.8153045,3.181735296,41.10750436,1.224286872,127.4,3829.908206,0.584796919,0.003553309,0.713167963,0.644674819,0.410655444,0.688071816,0.05888,0.5279,16.61,0.6459,7.596,1.08,Cwa,Perennial
136202D,-26.3007,152.0433,QLD,Barambah,72.70696849,-10,32.89624036,1.999990062,646.6,165.474033,0.041253832,0.035665423,0.617512507,0.330083018,-0.07211959,0.405311886,0.0002065,0.004815,0.8516,0.4786,0.06486,0.005573,Cf,Ephemeral
137101A,-25.0862,152.2405,QLD,Gregory,1999.859113,-0.771870448,5,2.049622772,453.2,136.1816595,0.025899459,0.032529756,0.504363031,0.351793488,-0.697092106,0.394487589,0,0.0006333,1.537,0.5495,0.08438,0.006933,Cf,Ephemeral
137201A,-25.2666,152.3684,QLD,Isis,154.6122753,-10,114.9644893,0.507209973,449.3,153.5148825,0.033427302,0.020936778,0.25347971,0.157178649,-1.475214009,0.223693686,0,0.0007323,1.403,0.5434,0.06026,0.003235,Cf,Ephemeral
138004B,-25.9031,152.3491,QLD,Munna,216.212238,-10,61.71314572,2.274303432,1190.4,199.3443504,0.036551479,0.024080785,0.377510299,0.461513623,-0.073282065,0.506624327,0,0.000562,1.316,0.7523,0.1989,0.009242,Cf,Ephemeral
138009A,-26.0773,152.7838,QLD,Tinana,506.1820584,-0.65072262,27.48878804,1.21908375,101.8,692.0851312,0.105233915,0.019188782,0.644675978,0.755949806,0.580594099,0.758812122,0,0.03255,3.962,0.5347,1.077,0.1147,Cf,Ephemeral
143009A,-26.9956,152.4102,QLD,Brisbane,2000,-0.864506105,6.053152127,2.795317815,3875.5,72.2671667,0.015989127,0.032986247,0.508848279,0.467865255,-0.099525044,0.532699289,0,0.001276,0.4684,0.5777,0.07276,0.006349,Cf,Ephemeral
145010A,-27.8277,152.5116,QLD,Bremer,253.4674658,0.42452182,5,1.149594897,129,1077.316831,0.209159597,-0.008144715,0.436053053,0.389052506,0.29414686,0.405158228,0.02822,0.1349,4.439,0.4573,1.409,0.2303,Cf,Perennial
145011A,-28.148,152.5701,QLD,Teviot,143.0379834,-7.814574344,22.30967232,1.181170235,85.1,201.431016,0.039885004,-0.016039162,0.689138481,0.584647014,-0.04161402,0.645034113,0.001493,0.008123,1.22,0.5138,0.1689,0.01829,Cf,Ephemeral
145107A,-27.9976,153.1583,QLD,Canungra,288.0291809,-10,192.25148,1.077379683,102.3,1421.824842,0.181082484,-0.012468458,0.816076968,0.684971595,0.422690937,0.700573183,0.04551,0.1779,5.519,0.5995,1.842,0.2552,Cf,Perennial
146012A,-28.1787,153.4237,QLD,Currumbin,426.0370755,-5.410369017,78.24574478,1.145326579,29,3860.306963,0.313056585,-0.009048476,0.900817088,0.873166953,0.803972012,0.89239919,0.02175,0.3297,25.48,0.5736,4.986,0.6248,Cf,Ephemeral
221207,-37.4507,148.9129,VIC,Errinundra,309.8203503,1.28574576,74.5211483,1.05604574,159.2,1740.555272,0.276479981,-0.031084902,0.808579666,0.727902882,0.651503616,0.742042578,0.2575,0.5132,3.791,0.6755,1.633,0.3761,Cf,Perennial
221210,-37.4158,149.5204,VIC,Genoa,327.0823958,-2.818997693,20.16921686,1.281075017,844.1,354.1703041,0.064483367,0.023195327,0.662178193,0.727620764,0.545670188,0.73848215,0.0006059,0.02208,2.687,0.6882,0.3941,0.04539,Cf,Ephemeral
222213,-36.955,148.3259,VIC,Suggan,319.2199939,0.895944655,17.30534006,1.329093491,361.4,745.1013994,0.181620058,-0.003981128,0.591590127,0.566446762,0.493936289,0.590178055,0.04309,0.1781,1.955,0.8932,1.228,0.2709,Cf,Perennial
223202,-37.2647,147.7241,VIC,Tambo,323.7368501,0.314468338,7.668067446,1.434663541,899.3,305.0107122,0.088008815,-0.012977104,0.507141154,0.551534611,0.506156606,0.550365611,0.01272,0.06487,1.06,0.7834,0.4798,0.1104,Cf,Perennial
224206,-37.4093,147.087,VIC,Wonnangatta,213.0679124,1.216320334,10.4543063,1.478873473,1099.5,1399.236133,0.38317292,0.010240031,0.235265146,0.26038682,0.039724513,0.275031009,0.01683,0.2459,3.584,0.873,3.071,0.7095,Cf,Ephemeral
224213A,-37.4951,147.2687,VIC,Dargo,1074.585847,0.807421221,5.354720176,1.537561797,669.7,1354.124255,0.358932525,-0.000629696,0.080244259,0.085790761,-0.033738262,0.089351848,0.05031,0.2873,3.195,0.8873,2.656,0.6235,Cf,Perennial
