Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
422313B,-28.2289,152.2272,QLD,Emu,73.77770831,-1.395500299,39.32886871,1.162116549,153.1,466.9810872,0.111921741,0.03979129,0.537217254,0.576110368,-0.106720404,0.585980839,0,0.005061,2.312,0.6604,0.4165,0.02389,Cf,Ephemeral
422334A,-27.9267,151.8624,QLD,Kings,166.534181,-3.320853592,19.28014439,1.20184188,648.1,278.3615434,0.062792812,0.025979677,0.650903688,0.652318361,0.215844666,0.724497424,0,0.005202,2.679,0.5134,0.06272,0.01196,Cf,Ephemeral
604053,-34.8888,117.0874,WA,Kent,740.3936014,-10,33.42142758,3.469886301,1786,344.3547918,0.046788243,0.069932887,0.786422648,0.820807163,0.761391411,0.836264564,0.001364,0.02063,1.551,0.9572,0.9471,0.1031,Cs,Perennial
606001,-34.7668,116.6158,WA,Deep,381.5704242,-9.638255281,64.36595648,4.147578682,473.7,655.8660194,0.093303011,0.023538517,0.876844033,0.89973306,0.743379839,0.91309329,0,0.02671,2.602,0.9773,2.122,0.2205,Cs,Ephemeral
606002,-34.69,116.52,WA,Weld,1254.725428,-10,30.6610059,1.692795366,73.1,259.3788964,0.036440368,0.070212806,0.708296484,0.711314649,0.411402464,0.729466437,0,0.003947,0.9744,0.9168,0.8405,0.08594,Cs,Ephemeral
608002,-34.39,115.84,WA,Carey,2000,-3.736286832,45.65903222,1.440692662,48.3,1075.904865,0.132684889,-0.026383731,0.771675449,0.858452641,0.88997613,0.852090289,0.07157,0.2516,2.496,0.9133,1.952,0.4565,Cs,Perennial
613002,-33.0871,116.0389,WA,Harvey,1848.400692,-0.955698126,79.96889787,2.046974984,148,1784.633181,0.221653312,-0.00767558,0.80818503,0.878229124,0.876204058,0.875022295,0.03387,0.4082,3.562,0.9547,3.502,0.8654,Cs,Perennial
613146,-33,115.92,WA,Clarke,249.8515704,-4.482756279,133.5818333,1.113849839,18.7,1952.075744,0.27618971,-0.071675515,0.782687283,0.823445537,0.759182408,0.841477412,0.03961,0.3075,4.876,0.8982,5.146,0.8207,Cs,Perennial
614044,-32.8114,116.1551,WA,Yarragil,949.6680227,-10,7.031978476,8.52107827,80,178.237811,0.022682915,-0.039119588,0.520776919,0.720417117,0.756017876,0.764768125,0,0.001075,0.8294,0.9283,0.554,0.03179,Cs,Ephemeral
616002,-32.0684,116.2927,WA,Darkin,815.73895,-10,5.38067854,9.588254552,641.6,51.42377111,0.008284269,0.036119728,0.401952122,0.643657584,0.624621241,0.667638898,0,0,0.3221,0.9108,0.1226,0.002476,Cs,Ephemeral
616013,-31.9395,116.4032,WA,Helena,578.8673681,-10,6.075043227,7.5910031,316.2,48.06216389,0.009131931,-0.090168836,0.336207956,0.407656386,0.286749837,0.552849362,0.002862,0.004488,0.2827,0.8204,0.08347,0.006703,Cs,Perennial
804001,-17.0084,125.427,WA,Isdell,599.1657314,0.486436565,12.32074476,1.699831241,1829.4,1063.54017,0.187519877,0.013629196,0.782278713,0.824269671,-0.125501436,0.856386069,0,0.001646,9.157,0.6872,1.313,0.02514,Bs,Ephemeral
912101A,-18.6419,139.2524,QLD,Gregory,724.5867618,0.309877069,5,3.902509077,12651.7,283.7907198,0.090736597,0.007448081,0.435869735,0.417826455,0.109500316,0.481704991,0.01367,0.02,2.596,0.758,0.112,0.0101,Bs,Perennial
917107A,-18.1336,144.3065,QLD,Elizabeth,1346.370512,0.323268014,8.070692791,1,528.1,390.9589057,0.098782087,0.021891609,0.687275808,0.645223066,-0.367885178,0.688733417,0.0004344,0.00595,4.293,0.755,0.226,0.02156,A,Ephemeral
926002A,-11.8327,142.422,QLD,Dulhunty,2000,3.347272133,136.0769865,1.058436933,333.3,2705.214477,0.306347991,0.012205697,0.870764162,0.879024558,0.85613715,0.895645304,0.1234,0.4628,8.21,0.9223,6.285,0.6839,A,Ephemeral
A2390519,-37.094,140.776,SA,Mosquito,169.5087977,-5.145025665,30.75706525,2.364428259,1550.1,138.9298956,0.035434895,0.03280506,0.842213923,0.84502322,0.7590739,0.861182227,0.002564,0.005741,1.004,0.8769,0.2603,0.008867,Cs,Perennial
A2390531,-36.6884,140.6605,SA,Morambro,114.5761627,-8.329594489,34.98047266,3.211217068,410.6,96.5447223,0.026259954,0.060458601,0.724088192,0.636087334,0.187504873,0.665528585,0,0,0.961,0.9549,0.09418,0,Cs,Ephemeral
A5030502,-35.1013,138.673,SA,Scott,206.9439338,-1.585354542,33.56498176,0.506118892,29,1003.082889,0.178867483,0.025804815,0.835305524,0.859707847,0.676105305,0.891944223,0.005966,0.09319,5.954,0.6685,1.701,0.1949,Cs,Perennial
